"arrcod","arrnom","arrville","arrcode","arradr1","arradr2","arradr3","arradr4","arrcodp","arrtel","arrfax","arrcourriel","arrregion","arrmrc","arrhorsmrcautoch","arrcm","arrgentile","arradrinternet","arrdateconsti","arrdateproelec","president","directeur","con01","con02","con03","con04","con05","con06","con07","con08","con09","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30","con31","con32","con33","con34","con35","con36","con37","con38","con39","con40","con41","con42","con43","con44","con45","con46","con47","con48","con49","con50","con51","con52","con53","con54","con55","con56","con57","con58","con59","con60","con61","con62","con63","con64","con65","con66","con67","con68","con69","con70","con71","con72","con73","con74","con75"
"REA01","Desjardins","Lévis","25213","996, rue de la Concorde","Lévis","2175, chemin du Fleuve","Lévis","G6W7W9","4188392002","4188395548","levis@ville.levis.qc.ca","Chaudière-Appalaches (12)","","non","Communauté métropolitaine de Québec (235)","Lévisien, ienne","www.ville.levis.qc.ca","2002-01-01","2029-11-04","Ann Jeffrey","","Anne-Marie Tremblay","Jean Demers","Jean Leblond","Olivier Biron","Mélanie Sicotte","Éric Nadeau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REA02","Les Chutes-de-la-Chaudière-Est","Lévis","25213","959, rue de l'Hôtel-de-Ville","Saint-Jean-Chrysostome","2175, chemin du Fleuve","Saint-Jean-Chrysostome","G6W7W9","4188392002","4188394244","levis@ville.levis.qc.ca","Chaudière-Appalaches (12)","","non","Communauté métropolitaine de Québec (235)","Lévisien, ienne","www.ville.levis.qc.ca","2002-01-01","2029-11-04","Michel Turner","","Daniel Saindon","Karine Lavertu","Alain Quirion","Erik Bilodeau","Anick Tremblay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REA03","Les Chutes-de-la-Chaudière-Ouest","Lévis","25213","1, place Chamberland","Saint-Étienne","2175, chemin du Fleuve","Saint-Romuald","G6W7W9","4188392002","4188318540","levis@ville.levis.qc.ca","Chaudière-Appalaches (12)","","non","Communauté métropolitaine de Québec (235)","Lévisien, ienne","www.ville.levis.qc.ca","2002-01-01","2029-11-04","Réjean Lamontagne","","Anthony Dufour","Isabelle Lefebvre","Audrey Bédard","Benoit Forget-Chiasson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REB01","Brompton--Rock Forest--Saint-Élie--Deauville","Sherbrooke","43027","133, rue Laval","Sherbrooke","C.P. 610","Sherbrooke","J1H5H9","8198462757","8198466621","brofsed@ville.sherbrooke.qc.ca","Estrie (05)","","non","","Sherbrookois, oise*","www.sherbrooke.ca","2002-01-01","2029-11-04","","","Annie Faucher","François-Olivier Desmarais","Christelle Lefèvre","Catherine Boileau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REB02","Fleurimont","Sherbrooke","43027","967, rue du Conseil","Sherbrooke","C.P. 610","Sherbrooke","J1G1L9","8195659954","8195655476","arr.de.fleurimont@ville.sherbrooke.qc.ca","Estrie (05)","","non","","Sherbrookois, oise*","www.sherbrooke.ca","2002-01-01","2029-11-04","Hélène Dauphinais","","Laure Letarte-Lavoie","Danielle Berthold","Joanie Bellerose","Pascale Larocque","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REB03","Lennoxville","Sherbrooke","43027","150, rue Queen","Sherbrooke","C.P. 610","Sherbrooke","J1H5H9","8195699388","8195633705","arr.lennoxville@ville.sherbrooke.qc.ca","Estrie (05)","","non","","Sherbrookois, oise*","www.sherbrooke.ca","2002-01-01","2029-11-04","Claude Charron","","Bertrand Bert Collins","Claude Charron","François (Frank) Gilbert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REB04","Les Nations","Sherbrooke","43027","600, rue Thibault","Sherbrooke","C.P. 610","Sherbrooke","J1H5H9","8195633993","8195633203","arr.mont-bellevue@ville.sherbrooke.qc.ca","Estrie (05)","","non","","Sherbrookois, oise*","www.ville.sherbrooke.qc.ca/fr/citoyen/arrondissements/des-nations","2002-01-01","2029-11-04","Paul Gingues","","Paul Gingues","Geneviève La Roche","Karine Godbout","Pierre Avard","Fernanda Luz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REC01","MacNider","Métis-sur-Mer","09048","138, rue Principale","Métis-sur-Mer","138, rue Principale","Métis-sur-Mer","G0J1S0","4189363255","4187750011","metissurmer@mitis.qc.ca","Bas-Saint-Laurent (01)","MRC La Mitis (090)","","","Métissien, ienne*","www.ville.metis-sur-mer.qc.ca","2002-07-04","2025-11-02","June Smith","","","","","René Lepage","","Rita Dufour-Turriff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REG01","Calumet","Grenville-sur-la-Rouge","76052","88, rue des Érables","Grenville-sur-la-Rouge","88, rue des Érables","Grenville-sur-la-Rouge","J0V1B0","8192428762","8192429341","info@gslr.ca","Laurentides (15)","MRC Argenteuil (760)","","","","www.gslr.ca","2002-04-24","2025-11-02","","Jean-François Bertrand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REG02","Grenville","Grenville-sur-la-Rouge","76052","88, rue des Érables","Grenville-sur-la-Rouge","88, rue des Érables","Grenville-sur-la-Rouge","J0V1B0","8192428762","8192429341","info@grenvillesurlarouge.ca","Laurentides (15)","MRC Argenteuil (760)","","","","","2002-04-24","2025-11-02","","Jean-François Bertrand","Manon Jutras","Ron Moran","Natalia Czarnecka","Denis Fillion","Serge Bourbonnais","Marc André Le Gris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
