id;Nom de lorganisation;Banniere;Adresse;Ville;Region;Tel;Fax;Dimanche1;Heure1ureDimanche;Heures1Dim;HeureOuverLundi;Heure1ureLundi;HeureFermetureLundi;Mardi1;Heure1ureMardi;HeureFermetureMardi;Mercredi1;Heure1ureMercredi;HeureFermetureMercredi;Jeudi1;Heure1ureJeudi;HeureFermetureJeudi;Vendredi1;Heure1ureVendredi;HeureFermetureVendredi;Samedi1;Heure1ureSamedi;HeureFermetureSamedi;DatMaj;Note
1;Anna Saurina pharmacienne inc.;Jean Coutu;10300 Ch Sainte-Marguerite;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 772 211;18 193 774 992;1;10:00;17:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;17:00;;
2;Anne Robitaille, Émilie Luneau-Lambert et Nicolas Huot, pharmaciens inc.;Brunet;141 Rue Notre-Dame E;Victoriaville;Mauricie et Centre-du-Québec;18 197 524 554;18 197 523 032;1;09:00;17:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;17:00;;
3;Annie-Louise Turcotte, pharmacienne inc.;Proxim;6625 Boul Parent;Trois-Rivières;Mauricie et Centre-du-Québec;18 198 404 244;18 198 414 151;0;0;0;1;09:30;18:30;1;09:30;18:30;1;09:30;18:30;1;09:30;18:30;1;09:30;18:30;1;10:00;17:00;;
4;Danielle Gélinas, Marie-Michèle Benoit et Louis-Carl Benoit pharmaciens Inc.;Jean Coutu;400 Rue Saint-Jean;Drummondville;Mauricie et Centre-du-Québec;18 194 741 024;18 198 501 293;1;09:00;18:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;09:00;18:00;;
5;Frédéric Dupéré & Andrée Gélinas, Pharmaciens Inc.;Familiprix;165 Boul Sainte-Madeleine;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 712 204;18 193 711 230;1;10:00;15:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;16:00;;
6;Jean-François Gauthier, Alexandre Rivard et Mathieu Langevin pharmaciens S.E.N.C.;Jean Coutu;200 Rue Fusey;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 758 941;18 193 743 372;1;10:00;18:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;18:00;;
7;Jean-François Gauthier, Alexandre Rivard et Mathieu Langevin pharmaciens S.E.N.C.;Jean Coutu;200 Boul Sainte-Madeleine;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 754 821;18 193 750 142;1;10:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;;
8;Jean-Patrick Sylvain et Benoit Désilets pharmaciens inc.;Familiprix;325 Rue Saint-Jean-Baptiste S;Princeville;Mauricie et Centre-du-Québec;18 193 642 121;18 193 643 585;1;10:00;13:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;20:00;1;09:00;18:00;1;09:00;16:00;;
9;Line Charette et Myriam Trudel, pharmaciennes inc.;Proxim;260 Rue Du Moulin;Saint-Tite;Mauricie et Centre-du-Québec;+1 418 365-7543;+1 418 365-6505;0;0;0;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;16:00;;
10;Marc Dontigny pharmacien Inc.;Uniprix;385 Boul Sainte-Madeleine;Trois-Rivières;Mauricie et Centre-du-Québec;+1 819 376-6333;+1 819 376-9302;1;10:00;18:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;09:00;18:00;;
